,111,211,CH3CCH,CH3CCH*,CH3CCH2*,CH3CCH3*,CH3CH2C*,CH3CH2CH*,CH3CH2CH2*,CH3CH2CH3,CH3CH2CH3*,CH3CHC*,CH3CHCH*,CH3CHCH2,CH3CHCH2*,CH3CHCH3*,CH3CC*,CH3CCH*,CH3CCH2*,CH3CCH3*,CH3CH2C*,CH3CH2CH*,CH3CH2CH2*,CH3CH2CH3*,CH3CHC*,CH3CHCH*,CH3CHCH2*,CH3CHCH3,CH3CHCH3*,H*,X,r,E,M,rou,Er,Ea
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.78,0.3
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.66,0.36
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.58,0.36
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.23,0.41
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.52,0.5
5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.37,0.6
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.36,0.67
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.43,0.73
8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,0.14,0.79
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.16,0.83
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,-0.08,0.98
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,0.54,1.07
12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11831248145414741,-0.30484794633149653,-1.22490936057924,-0.7497757206933741,-0.6854556071947919,0.46,1.11
17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.36,0.01
18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.65,0.05
19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.01,0.05
20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.01,0.08
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.19,0.17
22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.09,0.21
23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.22,0.23
24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.2,0.25
25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.05,0.25
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.3,0.26
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.34,0.3
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.29,0.33
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.05,0.34
30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.02,0.35
31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.37,0.37
32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.48,0.48
33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.45,0.53
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.04,0.55
35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.03,0.55
36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.07,0.61
37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.1,0.67
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.0,0.68
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.12,0.68
40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.01,0.7
41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.67,0.78
42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.48,0.97
43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.33,0.98
44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.48,1.0
45,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.71,1.08
50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.67,0.78
51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.71,1.08
52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.48,0.48
53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.45,0.53
54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.22,0.23
55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.02,0.35
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.05,0.34
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.19,0.17
58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,-0.36,0.01
59,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.09,0.21
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.3,0.26
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.34,0.3
62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.2,0.25
63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.01,0.05
64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.05,0.25
65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.01,0.08
66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.67,0.78
67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,-0.30484794633149653,-1.0781639030229757,-0.7145065268413124,-0.6931436783101648,0.71,1.08
68,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-1.23,0.27
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.34,0.35
70,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.87,0.55
71,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-1.04,0.57
72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.13,0.58
73,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-1.44,0.63
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.92,0.72
75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.06,0.92
76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,0.42,1.08
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.28,1.09
78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,-0.54,1.09
79,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.546666803009671,0.2734665400914812,-0.4911820727979191,0.882191216569952,0.9655576648315478,0.03,1.1
84,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.53,0.17
85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.79,0.23
86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.56,0.23
87,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.52,0.28
88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.17,0.29
89,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.48,0.32
90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.61,0.33
91,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.65,0.34
92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.67,0.38
93,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.33,0.42
94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.22,0.43
95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.23,0.44
96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.33,0.54
97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.27,0.61
